decree_id,number,date,url,sha256,kind,source_class,derivation_class,verification_class,source_url,license,retrieved_at
DDS-53-2026,53,2026-03-30,https://burp.regione.puglia.it/documents/20135/2758021/DET_53_30_3_2026.pdf/a3467543-e308-226c-5ad0-51cd51871b9a,0d00adcc52b1bb2c3e1e,window,official,deterministic_derived,hand_verified,https://burp.regione.puglia.it/documents/20135/2758021/DET_53_30_3_2026.pdf/a3467543-e308-226c-5ad0-51cd51871b9a,Regione Puglia BURP official act,2026-08-17T04:56:00Z
DDS-120-2026,120,2026-07-28,https://burp.regione.puglia.it/documents/20135/2832525/DET_120_28_7_2026.pdf/bf792461-30e7-0e84-7634-0b460aad1061,c2ae59d1a44c4244,window,official,deterministic_derived,hand_verified,https://burp.regione.puglia.it/documents/20135/2832525/DET_120_28_7_2026.pdf/bf792461-30e7-0e84-7634-0b460aad1061,Regione Puglia BURP official act,2026-08-17T04:55:00Z
DDS-82-2026,82,2026-05-11,https://burp.regione.puglia.it/documents/20135/2798636/DET_82_11_5_2026.pdf/5dd73d6c-f120-ed0d-9816-6316b47fa845,4ae654ecd49e4190,delimitation,official,deterministic_derived,hand_verified,https://burp.regione.puglia.it/documents/20135/2798636/DET_82_11_5_2026.pdf/5dd73d6c-f120-ed0d-9816-6316b47fa845,Regione Puglia BURP official act,2026-08-17T04:55:00Z
EU-2020-1201-20251124,2020/1201,2020-08-14,https://eur-lex.europa.eu/eli/reg_impl/2020/1201/2025-11-24,f2142f4664e44780,measure,official,deterministic_derived,hand_verified,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:02020R1201-20251124,EUR-Lex official consolidation,2026-08-17T04:55:00Z
DI-2484-2020,2484,2020-03-06,https://www.masaf.gov.it/flex/cm/pages/ServeBLOB.php/L/IT/IDPagina/14966,,measure,official,deterministic_derived,unverified,https://www.masaf.gov.it/flex/cm/pages/ServeBLOB.php/L/IT/IDPagina/14966,MASAF page citing DI 2484/2020; PDF body not fetched,2026-08-17T04:56:00Z
DGR-1075-2025,1075,2025-07-29,https://trasparenza.regione.puglia.it/provvedimenti/provvedimenti-della-giunta-regionale/190208,44e28e357a683d07,plan,official,deterministic_derived,unverified,https://trasparenza.regione.puglia.it/provvedimenti/provvedimenti-della-giunta-regionale/190208,Regione Puglia trasparenza metadata; PDF body not located,2026-08-17T04:55:00Z
AGEA-30M-2025,AGEA-30M,2025-02-12,https://www.masaf.gov.it/xylella_piano_sostegno,5fc9d9c1515b64bc,window,official,deterministic_derived,hand_verified,https://www.masaf.gov.it/xylella_piano_sostegno,MASAF 12.02.2025 criteria page,2026-08-17T04:55:00Z
DDS-157-2014,157,2014-04-18,https://webapps.sit.puglia.it/arcgis/rest/services/Operationals2/DatiPubbliciFasceXFBandoPSR/MapServer/0,,delimitation,official,deterministic_derived,unverified,https://webapps.sit.puglia.it/arcgis/rest/services/Operationals2/DatiPubbliciFasceXFBandoPSR/MapServer/0,Regione Puglia SIT layer title; PDF body not located,2026-08-17T01:19:33Z
DDS-3-2015,3,2015-01-16,https://webapps.sit.puglia.it/arcgis/rest/services/Operationals2/DatiPubbliciFasceXFBandoPSR/MapServer/1,,delimitation,official,deterministic_derived,unverified,https://webapps.sit.puglia.it/arcgis/rest/services/Operationals2/DatiPubbliciFasceXFBandoPSR/MapServer/1,Regione Puglia SIT layer title; PDF body not located,2026-08-17T01:19:33Z
DDS-54-2015,54,2015-03-13,https://webapps.sit.puglia.it/arcgis/rest/services/Operationals2/DatiPubbliciFasceXFBandoPSR/MapServer/2,,delimitation,official,deterministic_derived,unverified,https://webapps.sit.puglia.it/arcgis/rest/services/Operationals2/DatiPubbliciFasceXFBandoPSR/MapServer/2,Regione Puglia SIT layer title; PDF body not located,2026-08-17T01:19:33Z
DDS-571-2015,571,2015-11-05,https://webapps.sit.puglia.it/arcgis/rest/services/Operationals2/DatiPubbliciFasceXFBandoPSR/MapServer/3,,delimitation,official,deterministic_derived,unverified,https://webapps.sit.puglia.it/arcgis/rest/services/Operationals2/DatiPubbliciFasceXFBandoPSR/MapServer/3,Regione Puglia SIT layer title; PDF body not located,2026-08-17T01:19:33Z
DDS-23-2016,23,2016-02-12,https://webapps.sit.puglia.it/arcgis/rest/services/Operationals2/DatiPubbliciFasceXFBandoPSR/MapServer/4,,delimitation,official,deterministic_derived,unverified,https://webapps.sit.puglia.it/arcgis/rest/services/Operationals2/DatiPubbliciFasceXFBandoPSR/MapServer/4,Regione Puglia SIT layer title; PDF body not located,2026-08-17T01:19:33Z
DDS-203-2016,203,2016-05-24,https://webapps.sit.puglia.it/arcgis/rest/services/Operationals2/DatiPubbliciFasceXFBandoPSR/MapServer/5,,delimitation,official,deterministic_derived,unverified,https://webapps.sit.puglia.it/arcgis/rest/services/Operationals2/DatiPubbliciFasceXFBandoPSR/MapServer/5,Regione Puglia SIT layer title; PDF body not located,2026-08-17T01:19:33Z
DDS-59-2019,59,2019-05-21,https://webapps.sit.puglia.it/arcgis/rest/services/Operationals2/DatiPubbliciFasceXFBandoPSR/MapServer/6,,delimitation,official,deterministic_derived,unverified,https://webapps.sit.puglia.it/arcgis/rest/services/Operationals2/DatiPubbliciFasceXFBandoPSR/MapServer/6,Regione Puglia SIT layer title; PDF body not located,2026-08-17T01:20:16Z
