istat_comune_code,comune,istat_province_code,province,annex_basis,valid_from,valid_to,verified_through
075002,Alessano,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
075003,Alezio,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
075004,Alliste,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
075005,Andrano,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
075006,Aradeo,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
075007,Arnesano,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
075008,Bagnolo del Salento,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
075009,Botrugno,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
075010,Calimera,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
075011,Campi Salentina,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
075012,Cannole,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
075013,Caprarica di Lecce,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
075014,Carmiano,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
075015,Carpignano Salentino,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
075016,Casarano,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
075017,Castri di Lecce,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
075018,Castrignano de' Greci,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
075019,Castrignano del Capo,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
075020,Cavallino,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
075021,Collepasso,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
075022,Copertino,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
075023,Corigliano d'Otranto,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
075024,Corsano,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
075025,Cursi,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
075026,Cutrofiano,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
075027,Diso,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
075028,Gagliano del Capo,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
075029,Galatina,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
075030,Galatone,075,Lecce,Annex III Part A point 1 — whole province of Lecce,2020-08-20,,2026-05-31
