qualified_holding_reference,operator_title,as_of
PUGLIAOLIVE-HOLDING-0001,Agricultural holding 0001,2026-08-24
PUGLIAOLIVE-HOLDING-0002,Agricultural holding 0002,2026-08-24
PUGLIAOLIVE-HOLDING-0003,Agricultural holding 0003,2026-08-24
PUGLIAOLIVE-HOLDING-0004,Agricultural holding 0004,2026-08-24
PUGLIAOLIVE-HOLDING-0005,Agricultural holding 0005,2026-08-24
PUGLIAOLIVE-HOLDING-0006,Agricultural holding 0006,2026-08-24
PUGLIAOLIVE-HOLDING-0007,Agricultural holding 0007,2026-08-24
PUGLIAOLIVE-HOLDING-0008,Agricultural holding 0008,2026-08-24
PUGLIAOLIVE-HOLDING-0009,Agricultural holding 0009,2026-08-24
PUGLIAOLIVE-HOLDING-0010,Agricultural holding 0010,2026-08-24
PUGLIAOLIVE-HOLDING-0011,Agricultural holding 0011,2026-08-24
PUGLIAOLIVE-HOLDING-0012,Agricultural holding 0012,2026-08-24
PUGLIAOLIVE-HOLDING-0013,Agricultural holding 0013,2026-08-24
PUGLIAOLIVE-HOLDING-0014,Agricultural holding 0014,2026-08-24
PUGLIAOLIVE-HOLDING-0015,Agricultural holding 0015,2026-08-24
PUGLIAOLIVE-HOLDING-0016,Agricultural holding 0016,2026-08-24
PUGLIAOLIVE-HOLDING-0017,Agricultural holding 0017,2026-08-24
PUGLIAOLIVE-HOLDING-0018,Agricultural holding 0018,2026-08-24
PUGLIAOLIVE-HOLDING-0019,Agricultural holding 0019,2026-08-24
PUGLIAOLIVE-HOLDING-0020,Agricultural holding 0020,2026-08-24
PUGLIAOLIVE-HOLDING-0021,Agricultural holding 0021,2026-08-24
PUGLIAOLIVE-HOLDING-0022,Agricultural holding 0022,2026-08-24
PUGLIAOLIVE-HOLDING-0023,Agricultural holding 0023,2026-08-24
PUGLIAOLIVE-HOLDING-0024,Agricultural holding 0024,2026-08-24
PUGLIAOLIVE-HOLDING-0025,Agricultural holding 0025,2026-08-24
PUGLIAOLIVE-HOLDING-0026,Agricultural holding 0026,2026-08-24
PUGLIAOLIVE-HOLDING-0027,Agricultural holding 0027,2026-08-24
PUGLIAOLIVE-HOLDING-0028,Agricultural holding 0028,2026-08-24
PUGLIAOLIVE-HOLDING-0029,Agricultural holding 0029,2026-08-24
PUGLIAOLIVE-HOLDING-0030,Agricultural holding 0030,2026-08-24
PUGLIAOLIVE-HOLDING-0031,Agricultural holding 0031,2026-08-24
PUGLIAOLIVE-HOLDING-0032,Agricultural holding 0032,2026-08-24
PUGLIAOLIVE-HOLDING-0033,Agricultural holding 0033,2026-08-24
PUGLIAOLIVE-HOLDING-0034,Agricultural holding 0034,2026-08-24
PUGLIAOLIVE-HOLDING-0035,Agricultural holding 0035,2026-08-24
PUGLIAOLIVE-HOLDING-0036,Agricultural holding 0036,2026-08-24
PUGLIAOLIVE-HOLDING-0037,Agricultural holding 0037,2026-08-24
PUGLIAOLIVE-HOLDING-0038,Agricultural holding 0038,2026-08-24
PUGLIAOLIVE-HOLDING-0039,Agricultural holding 0039,2026-08-24
PUGLIAOLIVE-HOLDING-0040,Agricultural holding 0040,2026-08-24
PUGLIAOLIVE-HOLDING-0041,Agricultural holding 0041,2026-08-24
PUGLIAOLIVE-HOLDING-0042,Agricultural holding 0042,2026-08-24
PUGLIAOLIVE-HOLDING-0043,Agricultural holding 0043,2026-08-24
PUGLIAOLIVE-HOLDING-0044,Agricultural holding 0044,2026-08-24
PUGLIAOLIVE-HOLDING-0045,Agricultural holding 0045,2026-08-24
PUGLIAOLIVE-HOLDING-0046,Agricultural holding 0046,2026-08-24
PUGLIAOLIVE-HOLDING-0047,Agricultural holding 0047,2026-08-24
PUGLIAOLIVE-HOLDING-0048,Agricultural holding 0048,2026-08-24
PUGLIAOLIVE-HOLDING-0049,Agricultural holding 0049,2026-08-24
PUGLIAOLIVE-HOLDING-0050,Agricultural holding 0050,2026-08-24
PUGLIAOLIVE-HOLDING-0051,Agricultural holding 0051,2026-08-24
PUGLIAOLIVE-HOLDING-0052,Agricultural holding 0052,2026-08-24
PUGLIAOLIVE-HOLDING-0053,Agricultural holding 0053,2026-08-24
PUGLIAOLIVE-HOLDING-0054,Agricultural holding 0054,2026-08-24
PUGLIAOLIVE-HOLDING-0055,Agricultural holding 0055,2026-08-24
PUGLIAOLIVE-HOLDING-0056,Agricultural holding 0056,2026-08-24
PUGLIAOLIVE-HOLDING-0057,Agricultural holding 0057,2026-08-24
PUGLIAOLIVE-HOLDING-0058,Agricultural holding 0058,2026-08-24
PUGLIAOLIVE-HOLDING-0059,Agricultural holding 0059,2026-08-24
PUGLIAOLIVE-HOLDING-0060,Agricultural holding 0060,2026-08-24
PUGLIAOLIVE-HOLDING-0061,Agricultural holding 0061,2026-08-24
PUGLIAOLIVE-HOLDING-0062,Agricultural holding 0062,2026-08-24
PUGLIAOLIVE-HOLDING-0063,Agricultural holding 0063,2026-08-24
PUGLIAOLIVE-HOLDING-0064,Agricultural holding 0064,2026-08-24
PUGLIAOLIVE-HOLDING-0065,Agricultural holding 0065,2026-08-24
PUGLIAOLIVE-HOLDING-0066,Agricultural holding 0066,2026-08-24
PUGLIAOLIVE-HOLDING-0067,Agricultural holding 0067,2026-08-24
PUGLIAOLIVE-HOLDING-0068,Agricultural holding 0068,2026-08-24
PUGLIAOLIVE-HOLDING-0069,Agricultural holding 0069,2026-08-24
PUGLIAOLIVE-HOLDING-0070,Agricultural holding 0070,2026-08-24
PUGLIAOLIVE-HOLDING-0071,Agricultural holding 0071,2026-08-24
PUGLIAOLIVE-HOLDING-0072,Agricultural holding 0072,2026-08-24
PUGLIAOLIVE-HOLDING-0073,Agricultural holding 0073,2026-08-24
PUGLIAOLIVE-HOLDING-0074,Agricultural holding 0074,2026-08-24
PUGLIAOLIVE-HOLDING-0075,Agricultural holding 0075,2026-08-24
PUGLIAOLIVE-HOLDING-0076,Agricultural holding 0076,2026-08-24
PUGLIAOLIVE-HOLDING-0077,Agricultural holding 0077,2026-08-24
PUGLIAOLIVE-HOLDING-0078,Agricultural holding 0078,2026-08-24
PUGLIAOLIVE-HOLDING-0079,Agricultural holding 0079,2026-08-24
PUGLIAOLIVE-HOLDING-0080,Agricultural holding 0080,2026-08-24
PUGLIAOLIVE-HOLDING-0081,Agricultural holding 0081,2026-08-24
PUGLIAOLIVE-HOLDING-0082,Agricultural holding 0082,2026-08-24
PUGLIAOLIVE-HOLDING-0083,Agricultural holding 0083,2026-08-24
PUGLIAOLIVE-HOLDING-0084,Agricultural holding 0084,2026-08-24
PUGLIAOLIVE-HOLDING-0085,Agricultural holding 0085,2026-08-24
PUGLIAOLIVE-HOLDING-0086,Agricultural holding 0086,2026-08-24
PUGLIAOLIVE-HOLDING-0087,Agricultural holding 0087,2026-08-24
PUGLIAOLIVE-HOLDING-0088,Agricultural holding 0088,2026-08-24
PUGLIAOLIVE-HOLDING-0089,Agricultural holding 0089,2026-08-24
PUGLIAOLIVE-HOLDING-0090,Agricultural holding 0090,2026-08-24
PUGLIAOLIVE-HOLDING-0091,Agricultural holding 0091,2026-08-24
PUGLIAOLIVE-HOLDING-0092,Agricultural holding 0092,2026-08-24
PUGLIAOLIVE-HOLDING-0093,Agricultural holding 0093,2026-08-24
PUGLIAOLIVE-HOLDING-0094,Agricultural holding 0094,2026-08-24
PUGLIAOLIVE-HOLDING-0095,Agricultural holding 0095,2026-08-24
PUGLIAOLIVE-HOLDING-0096,Agricultural holding 0096,2026-08-24
PUGLIAOLIVE-HOLDING-0097,Agricultural holding 0097,2026-08-24
PUGLIAOLIVE-HOLDING-0098,Agricultural holding 0098,2026-08-24
PUGLIAOLIVE-HOLDING-0099,Agricultural holding 0099,2026-08-24
PUGLIAOLIVE-HOLDING-0100,Agricultural holding 0100,2026-08-24
PUGLIAOLIVE-HOLDING-0101,Agricultural holding 0101,2026-08-24
PUGLIAOLIVE-HOLDING-0102,Agricultural holding 0102,2026-08-24
PUGLIAOLIVE-HOLDING-0103,Agricultural holding 0103,2026-08-24
PUGLIAOLIVE-HOLDING-0104,Agricultural holding 0104,2026-08-24
PUGLIAOLIVE-HOLDING-0105,Agricultural holding 0105,2026-08-24
PUGLIAOLIVE-HOLDING-0106,Agricultural holding 0106,2026-08-24
PUGLIAOLIVE-HOLDING-0107,Agricultural holding 0107,2026-08-24
PUGLIAOLIVE-HOLDING-0108,Agricultural holding 0108,2026-08-24
PUGLIAOLIVE-HOLDING-0109,Agricultural holding 0109,2026-08-24
PUGLIAOLIVE-HOLDING-0110,Agricultural holding 0110,2026-08-24
PUGLIAOLIVE-HOLDING-0111,Agricultural holding 0111,2026-08-24
PUGLIAOLIVE-HOLDING-0112,Agricultural holding 0112,2026-08-24
PUGLIAOLIVE-HOLDING-0113,Agricultural holding 0113,2026-08-24
PUGLIAOLIVE-HOLDING-0114,Agricultural holding 0114,2026-08-24
PUGLIAOLIVE-HOLDING-0115,Agricultural holding 0115,2026-08-24
PUGLIAOLIVE-HOLDING-0116,Agricultural holding 0116,2026-08-24
PUGLIAOLIVE-HOLDING-0117,Agricultural holding 0117,2026-08-24
PUGLIAOLIVE-HOLDING-0118,Agricultural holding 0118,2026-08-24
PUGLIAOLIVE-HOLDING-0119,Agricultural holding 0119,2026-08-24
PUGLIAOLIVE-HOLDING-0120,Agricultural holding 0120,2026-08-24
PUGLIAOLIVE-HOLDING-0121,Agricultural holding 0121,2026-08-24
PUGLIAOLIVE-HOLDING-0122,Agricultural holding 0122,2026-08-24
PUGLIAOLIVE-HOLDING-0123,Agricultural holding 0123,2026-08-24
PUGLIAOLIVE-HOLDING-0124,Agricultural holding 0124,2026-08-24
PUGLIAOLIVE-HOLDING-0125,Agricultural holding 0125,2026-08-24
PUGLIAOLIVE-HOLDING-0126,Agricultural holding 0126,2026-08-24
PUGLIAOLIVE-HOLDING-0127,Agricultural holding 0127,2026-08-24
PUGLIAOLIVE-HOLDING-0128,Agricultural holding 0128,2026-08-24
PUGLIAOLIVE-HOLDING-0129,Agricultural holding 0129,2026-08-24
PUGLIAOLIVE-HOLDING-0130,Agricultural holding 0130,2026-08-24
PUGLIAOLIVE-HOLDING-0131,Agricultural holding 0131,2026-08-24
PUGLIAOLIVE-HOLDING-0132,Agricultural holding 0132,2026-08-24
PUGLIAOLIVE-HOLDING-0133,Agricultural holding 0133,2026-08-24
PUGLIAOLIVE-HOLDING-0134,Agricultural holding 0134,2026-08-24
PUGLIAOLIVE-HOLDING-0135,Agricultural holding 0135,2026-08-24
