cooperative_membership_reference,member_party_reference,cooperative_party_reference,membership_kind,as_of
PUGLIAOLIVE-MEMBERSHIP-0001,PUGLIAOLIVE-MEMBER-0001,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0002,PUGLIAOLIVE-MEMBER-0002,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0003,PUGLIAOLIVE-MEMBER-0003,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0004,PUGLIAOLIVE-MEMBER-0004,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0005,PUGLIAOLIVE-MEMBER-0005,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0006,PUGLIAOLIVE-MEMBER-0006,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0007,PUGLIAOLIVE-MEMBER-0007,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0008,PUGLIAOLIVE-MEMBER-0008,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0009,PUGLIAOLIVE-MEMBER-0009,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0010,PUGLIAOLIVE-MEMBER-0010,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0011,PUGLIAOLIVE-MEMBER-0011,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0012,PUGLIAOLIVE-MEMBER-0012,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0013,PUGLIAOLIVE-MEMBER-0013,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0014,PUGLIAOLIVE-MEMBER-0014,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0015,PUGLIAOLIVE-MEMBER-0015,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0016,PUGLIAOLIVE-MEMBER-0016,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0017,PUGLIAOLIVE-MEMBER-0017,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0018,PUGLIAOLIVE-MEMBER-0018,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0019,PUGLIAOLIVE-MEMBER-0019,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0020,PUGLIAOLIVE-MEMBER-0020,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0021,PUGLIAOLIVE-MEMBER-0021,IT/OLI/112,producer_member,2026-08-24
