holding_party_assignment_reference,holding_reference,party_reference,role_kind,bounded_scope,as_of
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0001,PUGLIAOLIVE-HOLDING-0001,PUGLIAOLIVE-MEMBER-0001,current_steward,PUGLIAOLIVE-HOLDING-0001,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0002,PUGLIAOLIVE-HOLDING-0002,PUGLIAOLIVE-MEMBER-0002,current_steward,PUGLIAOLIVE-HOLDING-0002,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0003,PUGLIAOLIVE-HOLDING-0003,PUGLIAOLIVE-MEMBER-0003,current_steward,PUGLIAOLIVE-HOLDING-0003,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0004,PUGLIAOLIVE-HOLDING-0004,PUGLIAOLIVE-MEMBER-0004,current_steward,PUGLIAOLIVE-HOLDING-0004,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0005,PUGLIAOLIVE-HOLDING-0005,PUGLIAOLIVE-MEMBER-0005,current_steward,PUGLIAOLIVE-HOLDING-0005,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0006,PUGLIAOLIVE-HOLDING-0006,PUGLIAOLIVE-MEMBER-0006,current_steward,PUGLIAOLIVE-HOLDING-0006,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0007,PUGLIAOLIVE-HOLDING-0007,PUGLIAOLIVE-MEMBER-0007,current_steward,PUGLIAOLIVE-HOLDING-0007,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0008,PUGLIAOLIVE-HOLDING-0008,PUGLIAOLIVE-MEMBER-0008,current_steward,PUGLIAOLIVE-HOLDING-0008,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0009,PUGLIAOLIVE-HOLDING-0009,PUGLIAOLIVE-MEMBER-0009,current_steward,PUGLIAOLIVE-HOLDING-0009,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0010,PUGLIAOLIVE-HOLDING-0010,PUGLIAOLIVE-MEMBER-0010,current_steward,PUGLIAOLIVE-HOLDING-0010,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0011,PUGLIAOLIVE-HOLDING-0011,PUGLIAOLIVE-MEMBER-0011,current_steward,PUGLIAOLIVE-HOLDING-0011,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0012,PUGLIAOLIVE-HOLDING-0012,PUGLIAOLIVE-MEMBER-0012,current_steward,PUGLIAOLIVE-HOLDING-0012,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0013,PUGLIAOLIVE-HOLDING-0013,PUGLIAOLIVE-MEMBER-0013,current_steward,PUGLIAOLIVE-HOLDING-0013,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0014,PUGLIAOLIVE-HOLDING-0014,PUGLIAOLIVE-MEMBER-0014,current_steward,PUGLIAOLIVE-HOLDING-0014,2026-08-24
