qualified_party_reference,operator_title,party_kind,handoff_contact_reference,as_of
IT/OLI/112,PugliaOlive Società Cooperativa,organization,,2026-08-24
PUGLIAOLIVE-MEMBER-0001,Producer member 0001,organization,,2026-08-24
PUGLIAOLIVE-MEMBER-0002,Producer member 0002,organization,,2026-08-24
PUGLIAOLIVE-MEMBER-0003,Producer member 0003,organization,,2026-08-24
PUGLIAOLIVE-MEMBER-0004,Producer member 0004,organization,,2026-08-24
PUGLIAOLIVE-MEMBER-0005,Producer member 0005,organization,,2026-08-24
PUGLIAOLIVE-MEMBER-0006,Producer member 0006,organization,,2026-08-24
PUGLIAOLIVE-MEMBER-0007,Producer member 0007,organization,,2026-08-24
PUGLIAOLIVE-MEMBER-0008,Producer member 0008,organization,,2026-08-24
PUGLIAOLIVE-MEMBER-0009,Producer member 0009,organization,,2026-08-24
PUGLIAOLIVE-MEMBER-0010,Producer member 0010,organization,,2026-08-24
PUGLIAOLIVE-MEMBER-0011,Producer member 0011,organization,,2026-08-24
PUGLIAOLIVE-MEMBER-0012,Producer member 0012,organization,,2026-08-24
PUGLIAOLIVE-MEMBER-0013,Producer member 0013,organization,,2026-08-24
PUGLIAOLIVE-MEMBER-0014,Producer member 0014,organization,,2026-08-24
PUGLIAOLIVE-MEMBER-0015,Producer member 0015,organization,,2026-08-24
PUGLIAOLIVE-MEMBER-0016,Producer member 0016,organization,,2026-08-24
PUGLIAOLIVE-MEMBER-0017,Producer member 0017,organization,,2026-08-24
PUGLIAOLIVE-MEMBER-0018,Producer member 0018,organization,,2026-08-24
PUGLIAOLIVE-MEMBER-0019,Producer member 0019,organization,,2026-08-24
PUGLIAOLIVE-MEMBER-0020,Producer member 0020,organization,,2026-08-24
PUGLIAOLIVE-MEMBER-0021,Producer member 0021,organization,,2026-08-24
PUGLIAOLIVE-MEMBER-0022,Producer member 0022,organization,,2026-08-24
PUGLIAOLIVE-MEMBER-0023,Producer member 0023,organization,,2026-08-24
PUGLIAOLIVE-MEMBER-0024,Producer member 0024,organization,,2026-08-24
PUGLIAOLIVE-MEMBER-0025,Producer member 0025,organization,,2026-08-24
PUGLIAOLIVE-MEMBER-0026,Producer member 0026,organization,,2026-08-24
PUGLIAOLIVE-MEMBER-0027,Producer member 0027,organization,,2026-08-24
PUGLIAOLIVE-MEMBER-0028,Producer member 0028,organization,,2026-08-24
PUGLIAOLIVE-MEMBER-0029,Producer member 0029,organization,,2026-08-24
PUGLIAOLIVE-MEMBER-0030,Producer member 0030,organization,,2026-08-24
PUGLIAOLIVE-MEMBER-0031,Producer member 0031,organization,,2026-08-24
PUGLIAOLIVE-MEMBER-0032,Producer member 0032,organization,,2026-08-24
PUGLIAOLIVE-MEMBER-0033,Producer member 0033,organization,,2026-08-24
PUGLIAOLIVE-MEMBER-0034,Producer member 0034,organization,,2026-08-24
PUGLIAOLIVE-MEMBER-0035,Producer member 0035,organization,,2026-08-24
PUGLIAOLIVE-MEMBER-0036,Producer member 0036,organization,,2026-08-24
PUGLIAOLIVE-MEMBER-0037,Producer member 0037,organization,,2026-08-24
PUGLIAOLIVE-MEMBER-0038,Producer member 0038,organization,,2026-08-24
PUGLIAOLIVE-MEMBER-0039,Producer member 0039,organization,,2026-08-24
PUGLIAOLIVE-MEMBER-0040,Producer member 0040,organization,,2026-08-24
PUGLIAOLIVE-MEMBER-0041,Producer member 0041,organization,,2026-08-24
PUGLIAOLIVE-MEMBER-0042,Producer member 0042,organization,,2026-08-24
PUGLIAOLIVE-MEMBER-0043,Producer member 0043,organization,,2026-08-24
PUGLIAOLIVE-MEMBER-0044,Producer member 0044,organization,,2026-08-24
PUGLIAOLIVE-MEMBER-0045,Producer member 0045,organization,,2026-08-24
