position_ref,order_ref,comune,foglio,particella,parcel_ref,holder_named_in_annex,basis,subject_resolution
DET-102-2026-FITO:COLLE:42:1152,DET-102-2026-FITO,Colle,42,1152,,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-102-2026-FITO:COLLE:42:1158,DET-102-2026-FITO,Colle,42,1158,,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-102-2026-FITO:COLLE:42:1217,DET-102-2026-FITO,Colle,42,1217,,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-102-2026-FITO:COLLE:42:133,DET-102-2026-FITO,Colle,42,133,,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-102-2026-FITO:COLLE:42:135,DET-102-2026-FITO,Colle,42,135,,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-102-2026-FITO:COLLE:42:137,DET-102-2026-FITO,Colle,42,137,,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-102-2026-FITO:COLLE:42:1554,DET-102-2026-FITO,Colle,42,1554,,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-102-2026-FITO:COLLE:42:1561,DET-102-2026-FITO,Colle,42,1561,,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-102-2026-FITO:COLLE:42:1562,DET-102-2026-FITO,Colle,42,1562,,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-102-2026-FITO:COLLE:42:1563,DET-102-2026-FITO,Colle,42,1563,,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-102-2026-FITO:COLLE:42:1617,DET-102-2026-FITO,Colle,42,1617,,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-102-2026-FITO:COLLE:42:1619,DET-102-2026-FITO,Colle,42,1619,,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-102-2026-FITO:COLLE:42:1697,DET-102-2026-FITO,Colle,42,1697,,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-102-2026-FITO:COLLE:42:1699,DET-102-2026-FITO,Colle,42,1699,,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-102-2026-FITO:COLLE:42:1701,DET-102-2026-FITO,Colle,42,1701,,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-102-2026-FITO:COLLE:42:1826,DET-102-2026-FITO,Colle,42,1826,,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-102-2026-FITO:COLLE:42:1827,DET-102-2026-FITO,Colle,42,1827,,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-102-2026-FITO:COLLE:42:1879,DET-102-2026-FITO,Colle,42,1879,,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-102-2026-FITO:COLLE:42:1880,DET-102-2026-FITO,Colle,42,1880,,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-102-2026-FITO:COLLE:42:1881,DET-102-2026-FITO,Colle,42,1881,,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-102-2026-FITO:COLLE:42:1889,DET-102-2026-FITO,Colle,42,1889,,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-102-2026-FITO:COLLE:42:2003,DET-102-2026-FITO,Colle,42,2003,,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-102-2026-FITO:COLLE:42:2004,DET-102-2026-FITO,Colle,42,2004,,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-102-2026-FITO:COLLE:42:792,DET-102-2026-FITO,Colle,42,792,,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-102-2026-FITO:COLLE:42:1,DET-102-2026-FITO,Colle,42,1,,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-102-2026-FITO:COLLE:41:1336,DET-102-2026-FITO,Colle,41,1336,,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-102-2026-FITO:COLLE:29:161,DET-102-2026-FITO,Colle,29,161,,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-102-2026-FITO:COLLE:29:162,DET-102-2026-FITO,Colle,29,162,,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-102-2026-FITO:COLLE:29:163,DET-102-2026-FITO,Colle,29,163,,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-102-2026-FITO:COLLE:28:266,DET-102-2026-FITO,Colle,28,266,,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-102-2026-FITO:COLLE:28:267,DET-102-2026-FITO,Colle,28,267,,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-102-2026-FITO:COLLE:16:165,DET-102-2026-FITO,Colle,16,165,,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-102-2026-FITO:COLLE:16:216,DET-102-2026-FITO,Colle,16,216,,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-102-2026-FITO:COLLE:16:234,DET-102-2026-FITO,Colle,16,234,,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-102-2026-FITO:COLLE:16:276,DET-102-2026-FITO,Colle,16,276,,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-102-2026-FITO:COLLE:16:360,DET-102-2026-FITO,Colle,16,360,,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-102-2026-FITO:COLLE:16:75,DET-102-2026-FITO,Colle,16,75,,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-103-2026-FITO:CASSANO DELLE MURGE:71:31,DET-103-2026-FITO,Cassano Delle Murge,71,31,B998_007100.31,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-103-2026-FITO:CASSANO DELLE MURGE:71:39,DET-103-2026-FITO,Cassano Delle Murge,71,39,B998_007100.39,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-103-2026-FITO:CASSANO DELLE MURGE:71:41,DET-103-2026-FITO,Cassano Delle Murge,71,41,B998_007100.41,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
