prescription_addressee_id,intervention_id,parcel_ref,role_basis,resolution_status,party_ref,resolution_source,notified_via,notifying_authority_party_id,election_route
DET-3-2026-BITONTO-ERADICATION-WORK:A893_002900.117:01,DET-3-2026-BITONTO-ERADICATION-WORK,A893_002900.117,owner,unresolved,,,albo_pretorio,COMUNE-BITONTO,not_elected
DET-3-2026-BITONTO-ERADICATION-WORK:A893_002900.117:02,DET-3-2026-BITONTO-ERADICATION-WORK,A893_002900.117,owner,unresolved,,,albo_pretorio,COMUNE-BITONTO,not_elected
DET-3-2026-BITONTO-ERADICATION-WORK:A893_002900.117:03,DET-3-2026-BITONTO-ERADICATION-WORK,A893_002900.117,owner,unresolved,,,albo_pretorio,COMUNE-BITONTO,not_elected
DET-3-2026-BITONTO-ERADICATION-WORK:A893_002900.117:04,DET-3-2026-BITONTO-ERADICATION-WORK,A893_002900.117,owner,unresolved,,,albo_pretorio,COMUNE-BITONTO,not_elected
DET-3-2026-BITONTO-ERADICATION-WORK:A893_002900.137:01,DET-3-2026-BITONTO-ERADICATION-WORK,A893_002900.137,owner,unresolved,,,albo_pretorio,COMUNE-BITONTO,not_elected
DET-3-2026-BITONTO-ERADICATION-WORK:A893_002900.145:01,DET-3-2026-BITONTO-ERADICATION-WORK,A893_002900.145,owner,unresolved,,,albo_pretorio,COMUNE-BITONTO,not_elected
DET-3-2026-BITONTO-ERADICATION-WORK:A893_002900.146:01,DET-3-2026-BITONTO-ERADICATION-WORK,A893_002900.146,owner,unresolved,,,albo_pretorio,COMUNE-BITONTO,not_elected
DET-3-2026-BITONTO-ERADICATION-WORK:A893_002900.146:02,DET-3-2026-BITONTO-ERADICATION-WORK,A893_002900.146,owner,unresolved,,,albo_pretorio,COMUNE-BITONTO,not_elected
DET-3-2026-BITONTO-ERADICATION-WORK:A893_002900.146:03,DET-3-2026-BITONTO-ERADICATION-WORK,A893_002900.146,owner,unresolved,,,albo_pretorio,COMUNE-BITONTO,not_elected
DET-3-2026-BITONTO-ERADICATION-WORK:A893_002900.247:01,DET-3-2026-BITONTO-ERADICATION-WORK,A893_002900.247,owner,unresolved,,,albo_pretorio,COMUNE-BITONTO,not_elected
DET-3-2026-BITONTO-ERADICATION-WORK:A893_002900.247:02,DET-3-2026-BITONTO-ERADICATION-WORK,A893_002900.247,owner,unresolved,,,albo_pretorio,COMUNE-BITONTO,not_elected
DET-3-2026-BITONTO-ERADICATION-WORK:A893_002900.247:03,DET-3-2026-BITONTO-ERADICATION-WORK,A893_002900.247,owner,unresolved,,,albo_pretorio,COMUNE-BITONTO,not_elected
DET-3-2026-BITONTO-ERADICATION-WORK:A893_002900.247:04,DET-3-2026-BITONTO-ERADICATION-WORK,A893_002900.247,owner,unresolved,,,albo_pretorio,COMUNE-BITONTO,not_elected
DET-3-2026-BITONTO-ERADICATION-WORK:A893_002900.247:05,DET-3-2026-BITONTO-ERADICATION-WORK,A893_002900.247,owner,unresolved,,,albo_pretorio,COMUNE-BITONTO,not_elected
DET-3-2026-BITONTO-ERADICATION-WORK:A893_002900.247:06,DET-3-2026-BITONTO-ERADICATION-WORK,A893_002900.247,owner,unresolved,,,albo_pretorio,COMUNE-BITONTO,not_elected
DET-3-2026-BITONTO-ERADICATION-WORK:A893_002900.247:07,DET-3-2026-BITONTO-ERADICATION-WORK,A893_002900.247,owner,unresolved,,,albo_pretorio,COMUNE-BITONTO,not_elected
DET-3-2026-BITONTO-ERADICATION-WORK:A893_002900.247:08,DET-3-2026-BITONTO-ERADICATION-WORK,A893_002900.247,owner,unresolved,,,albo_pretorio,COMUNE-BITONTO,not_elected
DET-3-2026-BITONTO-ERADICATION-WORK:A893_002900.247:09,DET-3-2026-BITONTO-ERADICATION-WORK,A893_002900.247,owner,unresolved,,,albo_pretorio,COMUNE-BITONTO,not_elected
