qualified_party_reference,operator_title,party_kind,handoff_contact_reference,as_of
REGIONE-PUGLIA-OSSERVATORIO-FITOSANITARIO,Regione Puglia — Sezione Osservatorio Fitosanitario,competent_authority,https://www.regione.puglia.it/web/agricoltura/osservatorio-fitosanitario,2026-08-25
ARIF-PUGLIA,Agenzia Regionale per le Attività Irrigue e Forestali,delegated_executor,https://www.arifpuglia.it,2026-08-25
INNOVAPUGLIA,InnovaPuglia S.p.A.,technical_support_body,https://www.innova.puglia.it,2026-08-25
CNR-IPSP,CNR — Istituto per la Protezione Sostenibile delle Piante,official_laboratory,https://www.ipsp.cnr.it,2026-08-25
CRSFA-BASILE-CARAMIA,Centro di Ricerca Sperimentazione e Formazione in Agricoltura Basile Caramia,official_laboratory,http://www.crsa.it,2026-08-25
UNIBA-DISSPA,Università degli Studi di Bari — DiSSPA,official_laboratory,https://www.uniba.it/it/ricerca/dipartimenti/disspa,2026-08-25
CIHEAM-IAMB,CIHEAM — Istituto Agronomico Mediterraneo di Bari,official_laboratory,https://www.iamb.it,2026-08-25
UNIFG-SAFE,Università degli Studi di Foggia — Dipartimento SAFE,official_laboratory,https://www.unifg.it/it/struttura/dipartimento-scienze-agrarie-alimenti-risorse-naturali-e-ingegneria,2026-08-25
CARABINIERI-FORESTALI-CUFAA,Arma dei Carabinieri — Comando Unità Forestali Ambientali e Agroalimentari,enforcement_authority,https://www.carabinieri.it/arma/oggi/organizzazione/tutela-forestale-ambientale-e-agroalimentare,2026-08-25
PREFETTURA-BARI,Prefettura — Ufficio Territoriale del Governo di Bari,public_force_authority,https://www.prefettura.it/bari,2026-08-25
COMUNE-BITONTO,Comune di Bitonto,publication_authority,https://www.comune.bitonto.ba.it,2026-08-25
COMUNE-MODUGNO,Comune di Modugno,publication_authority,https://www.comune.modugno.ba.it,2026-08-25
COMUNE-VALENZANO,Comune di Valenzano,publication_authority,https://www.comune.valenzano.ba.it,2026-08-25
COMUNE-CAGNANO-VARANO,Comune di Cagnano Varano,publication_authority,https://www.comune.cagnanovarano.fg.it,2026-08-25
