order_ref,act_number,act_year,adopted_on,comune,measure,legal_basis,what_is_ordered,plants_ordered_removed,host_species_named,act_subject
DET-92-2021-FITO,92,2021,2021-09-06,Fasano,Removal of infected plants,"Art. 13, Regulation (EU) 2020/1201",Each plant found infected.,,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 538/2021. Misure fitosanitarie per il contenimento della diffusione della Xylella fastidiosa. Monitoraggio 2021. Prescrizione di misure di estirpazione ai sensi del Reg. (UE) 2020/1201 in agro di Fasano ' Zona contenimento.
DET-93-2021-FITO,93,2021,2021-09-15,Alberobello,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 538/2021. Misure fitosanitarie per il contenimento della diffusione della Xylella fastidiosa. Monitoraggio 2021. Prescrizione di misure di eradicazione ai sensi del Reg. (UE) 2020/1201 in agro di Alberobello - Zona cuscinetto.
DET-94-2021-FITO,94,2021,2021-09-15,Fasano,Removal of infected plants,"Art. 13, Regulation (EU) 2020/1201",Each plant found infected.,,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 538/2021. Misure fitosanitarie per il contenimento della diffusione della Xylella fastidiosa. Monitoraggio 2021. Prescrizione di misure di estirpazione ai sensi del Reg. (UE) 2020/1201 in agro di Fasano - Zona contenimento.
DET-95-2021-FITO,95,2021,2021-09-15,Locorotondo,Removal of infected plants,"Art. 13, Regulation (EU) 2020/1201",Each plant found infected.,,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 538/2021. Misure fitosanitarie per il contenimento della diffusione della Xylella fastidiosa. Monitoraggio 2021. Prescrizione di misure di estirpazione ai sensi del Reg. (UE) 2020/1201 in agro di Locorotondo - Zona contenimento.
DET-100-2021-FITO,100,2021,2021-09-23,Locorotondo,Removal of infected plants,"Art. 13, Regulation (EU) 2020/1201",Each plant found infected.,,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 538/2021. Misure fitosanitarie per il contenimento della diffusione della Xylella fastidiosa. Monitoraggio 2021. Prescrizione di misure di estirpazione ai sensi del Reg. (UE) 2020/1201 in agro di Locorotondo - Zona contenimento.
DET-101-2021-FITO,101,2021,2021-09-23,Martina Franca,Removal of infected plants,"Art. 13, Regulation (EU) 2020/1201",Each plant found infected.,,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 538/2021. Misure fitosanitarie per il contenimento della diffusione della Xylella fastidiosa. Monitoraggio 2021. Prescrizione di misure di estirpazione ai sensi del Reg. (UE) 2020/1201 in agro di Martina Franca - Zona contenimento.
DET-102-2021-FITO,102,2021,2021-10-01,Alberobello,Eradication,"Art. 7, Regulation (EU) 2020/1201","The infected plant, and every specified host plant within fifty metres of it.",,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 538/2021. Misure fitosanitarie per il contenimento della diffusione della Xylella fastidiosa. Monitoraggio 2021. Prescrizione di misure di eradicazione ai sensi del Reg. (UE) 2020/1201 in agro di Alberobello ' Zona cuscinetto.
DET-103-2021-FITO,103,2021,2021-10-01,Locorotondo,Removal of infected plants,"Art. 13, Regulation (EU) 2020/1201",Each plant found infected.,,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 538/2021. Misure fitosanitarie per il contenimento della diffusione della Xylella fastidiosa. Monitoraggio 2021. Prescrizione di misure di estirpazione ai sensi del Reg. (UE) 2020/1201 in agro di Locorotondo ' Zona contenimento.
DET-104-2021-FITO,104,2021,2021-10-06,Locorotondo,Removal of infected plants,"Art. 13, Regulation (EU) 2020/1201",Each plant found infected.,,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 538/2021. Misure fitosanitarie per il contenimento della diffusione della Xylella fastidiosa. Monitoraggio 2021. Prescrizione di misure di estirpazione ai sensi del Reg. (UE) 2020/1201 in agro di Locorotondo ' Zona contenimento.
DET-105-2021-FITO,105,2021,2021-10-06,Martina Franca,Removal of infected plants,"Art. 13, Regulation (EU) 2020/1201",Each plant found infected.,,,Reg. (UE) 2020/1201 - D.Lgs 19 del 02/02/2021 ' D.G.R. 538/2021. Misure fitosanitarie per il contenimento della diffusione della Xylella fastidiosa. Monitoraggio 2021. Prescrizione di misure di estirpazione ai sensi del Reg. (UE) 2020/1201 in agro di Martina Franca ' Zona contenimento.
