title,layer_id,service_path,area_ref,area_kind,instrument_ref,instituting_act,binding_basis
Zona Infetta Xylella Fastidiosa sub. pauca (Cagnano Varano),0,/arcgis/rest/services/Operationals/DatiPubbliciFasceXF/MapServer,DET-163-2025-FITO:zona-infetta-cagnano-varano,infected,DET-163-2025-FITO,DDS 163 del 08/10/2025,DET 2/2026 recital
Zona Cuscinetto Xylella Fastidiosa sub. pauca (Cagnano Varano),1,/arcgis/rest/services/Operationals/DatiPubbliciFasceXF/MapServer,DET-163-2025-FITO:zona-cuscinetto-cagnano-varano,buffer,DET-163-2025-FITO,DDS 163 del 08/10/2025,DET 2/2026 recital
Zona Infetta Xylella Fastidiosa sub. pauca (Giovinazzo),2,/arcgis/rest/services/Operationals/DatiPubbliciFasceXF/MapServer,DET-147-2025-FITO:zona-infetta-giovinazzo,infected,DET-147-2025-FITO,DDS 147 del 12/08/2025,DET 2/2026 recital
Zona Cuscinetto Xylella Fastidiosa sub. pauca (Giovinazzo),3,/arcgis/rest/services/Operationals/DatiPubbliciFasceXF/MapServer,DET-147-2025-FITO:zona-cuscinetto-giovinazzo,buffer,DET-147-2025-FITO,DDS 147 del 12/08/2025,DET 2/2026 recital
Zona Infetta Xylella Fastidiosa sub. pauca (Modugno),4,/arcgis/rest/services/Operationals/DatiPubbliciFasceXF/MapServer,DET-126-2025-FITO:zona-infetta-modugno,infected,DET-126-2025-FITO,"DDS 126 dell'11/07/2025, agg. DDS 132 del 18/07/2025",DET 2/2026 recital
Zona Cuscinetto Xylella Fastidiosa sub. pauca (Modugno),5,/arcgis/rest/services/Operationals/DatiPubbliciFasceXF/MapServer,DET-126-2025-FITO:zona-cuscinetto-modugno,buffer,DET-126-2025-FITO,"DDS 126 dell'11/07/2025, agg. DDS 132 del 18/07/2025",DET 2/2026 recital
Zona Infetta Xylella Fastidiosa sub. pauca (Bisceglie),6,/arcgis/rest/services/Operationals/DatiPubbliciFasceXF/MapServer,DET-113-2025-FITO:zona-infetta-bisceglie,infected,DET-113-2025-FITO,"DDS 113 del 23/06/2025, agg. DDS 141 del 06/08/2025",DET 2/2026 recital
Zona Cuscinetto Xylella Fastidiosa sub. pauca (Bisceglie),7,/arcgis/rest/services/Operationals/DatiPubbliciFasceXF/MapServer,DET-113-2025-FITO:zona-cuscinetto-bisceglie,buffer,DET-113-2025-FITO,"DDS 113 del 23/06/2025, agg. DDS 141 del 06/08/2025",DET 2/2026 recital
Zona Infetta Xylella Fastidiosa sub. pauca (Minervino Murge),8,/arcgis/rest/services/Operationals/DatiPubbliciFasceXF/MapServer,DDS-59-2025:zona-infetta-minervino-murge,infected,,DDS 59 del 14/04/2025,DET 2/2026 recital; act PDF not yet admitted
Zona Cuscinetto Xylella Fastidiosa sub. pauca (Minervino Murge),9,/arcgis/rest/services/Operationals/DatiPubbliciFasceXF/MapServer,DDS-59-2025:zona-cuscinetto-minervino-murge,buffer,,DDS 59 del 14/04/2025,DET 2/2026 recital; act PDF not yet admitted
Zona Infetta Xylella Fastidiosa sub. pauca (Bari),10,/arcgis/rest/services/Operationals/DatiPubbliciFasceXF/MapServer,DDS-92-2024:zona-infetta-bari,infected,,DDS 92 del 22/07/2024,DET 2/2026 recital; act PDF not yet admitted
Zona Cuscinetto Xylella Fastidiosa sub. pauca (Bari),11,/arcgis/rest/services/Operationals/DatiPubbliciFasceXF/MapServer,DDS-92-2024:zona-cuscinetto-bari,buffer,,DDS 92 del 22/07/2024,DET 2/2026 recital; act PDF not yet admitted
Zona Infetta Xylella Fastidiosa sub. pauca - Focolai di Mola di Bari e Noci,12,/arcgis/rest/services/Operationals/DatiPubbliciFasceXF/MapServer,DET-82-2026-FITO:zona-infetta-focolai-mola-di-bari-e-noci,infected,DET-82-2026-FITO,DDS 82 dell'11/05/2026,DDS 82/2026 ex-Salento map act
Zona Cuscinetto Xylella Fastidiosa sub. pauca,13,/arcgis/rest/services/Operationals/DatiPubbliciFasceXF/MapServer,DET-82-2026-FITO:zona-cuscinetto-ex-salento,buffer,DET-82-2026-FITO,DDS 82 dell'11/05/2026,DDS 82/2026 ex-Salento map act
Zona Contenimento Xylella Fastidiosa sub. pauca,14,/arcgis/rest/services/Operationals/DatiPubbliciFasceXF/MapServer,DET-82-2026-FITO:zona-contenimento-ex-salento,containment,DET-82-2026-FITO,DDS 82 dell'11/05/2026,DDS 82/2026 ex-Salento map act
Zona Infetta Xylella Fastidiosa sub. pauca,15,/arcgis/rest/services/Operationals/DatiPubbliciFasceXF/MapServer,DET-82-2026-FITO:zona-infetta-ex-salento,infected,DET-82-2026-FITO,DDS 82 dell'11/05/2026,DDS 82/2026 ex-Salento map act
Area delimitata Xyella fastidiosa sub. multiplex (Santeramo in Colle) - Zona Infetta,0,/arcgis/rest/services/Operationals2/DatiPubbliciFasceXFMultiplex/MapServer,DDS-29-2024:zona-infetta-santeramo-in-colle,infected,,"DDS 29 dell'8/04/2024, agg. 91/148/198 del 2024 e 106 del 16/06/2025",DET 2/2026 recital; act PDF not yet admitted
