provision_version_id,instrument_id,stable_provision_id,effective_from,effective_to_exclusive,application_basis,source_uri,source_snapshot_hashes,source_snapshot_dates,exact_change_kind,semantic_change,actor_role,modality,true_effect,false_effect,reserved_decision_owner,evidence_contract,external_dependencies,rule_determinacy,authority_judgment_required,authority_judgment_kind,legal_linguistic_conflict,semantic_note
EU-2016-2031:Art.22(3):annual-survey-results-report:v1,EU-2016-2031,EU-2016-2031:Art.22(3):annual-survey-results-report,2019-12-14,2025-01-05,"Regulation 2016/2031 Article 113 application; original Article 22(3), before Regulation 2024/3115 Article 1(4) takes effect",https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32016R2031,95615d3e0d96e1c964caf26d8747045bcf1c1f7258530c58ba40b2d93f663743,2016-11-23,INITIAL_IN_APERTURE,INITIAL,Member States,shall,"By 30 April each year, report to the Commission and the other Member States the preceding calendar year's Article 22(1) survey results. This version of Article 22(3) does not specify the Article 103 electronic route.","A draft, queued transmission or attempted submission does not satisfy reporting. Insufficient evidence leaves performance unverified, not automatically breached.",Member State concerned,Preceding-calendar-year survey-result set; report payload; authoritative evidence of successful reporting to the Commission and other Member States. A receipt or system acknowledgement may prove that performance; it is not an independent legal completion condition under this provision. No particular proof format is prescribed here.,[],DETERMINISTIC_RULE,NO,-,-,Retained only to the extent directly imported by Regulation 2020/1201 Article 2(8); it does not expand CORDON to the general Union survey programme.
EU-2016-2031:Art.22(3):annual-survey-results-report:v2,EU-2016-2031,EU-2016-2031:Art.22(3):annual-survey-results-report,2025-01-05,,"Regulation 2024/3115 Article 1(4) replaces Article 22(3), first subparagraph; Article 3: twentieth day after OJ publication on 2024-12-16",https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32024R3115,8771d5fc5827f89e1c71106025f6a6fc42a5300006113b68074c8704ab6ee13b,2024-12-16,REPORTING_ROUTE_CHANGED,REPORTING_ROUTE_CHANGED,Member States,shall,"By 30 April each year, report to the Commission and the other Member States the preceding calendar year's Article 22(1) survey results through the Article 103 electronic notification system.","A draft, queued transmission or attempted submission does not satisfy reporting. Insufficient evidence leaves performance unverified, not automatically breached.",Member State concerned,Preceding-calendar-year survey-result set; report payload; authoritative evidence of successful reporting to the Commission and other Member States through the Article 103 electronic notification system. A receipt or system acknowledgement may prove that performance; it is not an independent legal completion condition under this provision. No particular proof format is prescribed here.,"[""EU-2016-2031:Art.103""]",DETERMINISTIC_RULE,NO,-,-,Retained only to the extent directly imported by Regulation 2020/1201 Article 2(8); it does not expand CORDON to the general Union survey programme.
EU-2016-2031:Art.31(2):more-stringent-measure-notification:v1,EU-2016-2031,EU-2016-2031:Art.31(2):more-stringent-measure-notification,2019-12-14,,Regulation 2016/2031 application,file:regulation/closure/eu/2016-2031-20260706.txt,c9b820e236ef4d629d5439938131c813f6bee7f5b871d352fc9ceb6dbd46bf5d,2026-07-06,INITIAL,INITIAL,Member State,may / shall,Immediately notify the Commission and other Member States of the Article 31(1) measure.,Proven nonnotification is a breach of Article 31(2). Its consequence for substantive validity or enforceability remains authority-interpretation required.,Member State competent authority,"Article 31(1) measure identity; Commission/Member-State notification, transmission and receipt; authority construction of any validity consequence.","[""EU-2016-2031:Art.31:more-stringent-national-measures""]",AUTHORITY_JUDGMENT_REQUIRED,YES,notification completion and legal consequence of breach,-,Notification is a separate mandatory output. The text does not state that nonnotification nullifies Article 31(1) substantive availability.
EU-2016-2031:Art.31(2):more-stringent-measure-report-on-request:v1,EU-2016-2031,EU-2016-2031:Art.31(2):more-stringent-measure-report-on-request,2019-12-14,,Regulation 2016/2031 application,file:regulation/closure/eu/2016-2031-20260706.txt,c9b820e236ef4d629d5439938131c813f6bee7f5b871d352fc9ceb6dbd46bf5d,2026-07-06,INITIAL,INITIAL,Member State,shall,Submit the requested annual report on measures taken under Article 31(1).,"Without a request this report duty does not activate. Missing request, scope, report or delivery evidence remains unresolved.",Member State competent authority,"Request, requesting authority, scope, applicable Article 31(1) measures, report and delivery/receipt.","[""EU-2016-2031:Art.31:more-stringent-national-measures""]",AUTHORITY_JUDGMENT_REQUIRED,YES,request scope and report compliance,-,This requested annual report is separate from immediate notification and from substantive Article 31(1) availability.
EU-2016-2031:Art.31:more-stringent-national-measures:v1,EU-2016-2031,EU-2016-2031:Art.31:more-stringent-national-measures,2019-12-14,,Regulation 2016/2031 application,file:regulation/closure/eu/2016-2031-20260706.txt,c9b820e236ef4d629d5439938131c813f6bee7f5b871d352fc9ceb6dbd46bf5d,2026-07-06,INITIAL,INITIAL,Member State,may,Make the more stringent national phytosanitary measure substantively available only through the complete Article 31(1) conditions.,"A measure outside Article 31(1) scope or proven to fail justification, Annex II compatibility or movement-restriction compatibility is unavailable through this route; missing evidence remains unresolved.",Member State competent authority,Measure identity and scope; phytosanitary justification; Annex II compatibility analysis; movement-restriction analysis.,[],AUTHORITY_JUDGMENT_REQUIRED,YES,"Article 31(1) scope, phytosanitary justification, Annex II compatibility and movement-restriction compatibility",-,Article 31(1) substantive availability is independent of Article 31(2) notification compliance. Nonnotification does not automatically decide validity or enforceability.
EU-2017-625:Art.100:national-reference-laboratory-status:v1,EU-2017-625,EU-2017-625:Art.100:national-reference-laboratory-status,2019-12-14,,Regulation 2017/625 application date,file:regulation/closure/eu/2017-625-official-controls.txt,2717feed2dd6f46d642e65db4555c0cfb033423551805d0d2a605c3f1e036531,2019-12-14,INITIAL,INITIAL,Competent authority / official or national reference laboratory as source allocated,shall,Constitute national-reference-laboratory status for the exact competence and require publication/update of name and address.,"Plan wording, scientific capability or official-laboratory status alone does not establish national-reference status; missing designation/requirement evidence remains unresolved.",Source-allocated competent authority,"Exact designation act, scope, qualifications, accreditation/derogation, audit and event-time status evidence. Location within the permitted EU/EEA territory; only the requirements selectively incorporated by Article 100 apply to the NRL route.","[""EU-2017-625:Art.37(1,3-5):official-laboratory-designation-tuple"",""EU-2017-625:Art.39:official-laboratory-audit-status"",""EU-2017-625:Art.42:temporary-method-designation"",""EU-2017-625:Art.41:representative-method-derogation-authority""]",AUTHORITY_JUDGMENT_REQUIRED,YES,exact competence-specific NRL designation and continuing status,-,Article 100 selectively incorporates Article 42: neither its official-laboratory supervision condition in paragraph 2(c) nor its same-Member-State restriction in paragraph 4 is imported. An NRL may be designated in another Member State or an EEA contracting country.
EU-2017-625:Art.101(1):national-reference-laboratory-tasks:v1,EU-2017-625,EU-2017-625:Art.101(1):national-reference-laboratory-tasks,2019-12-14,,Regulation 2017/625 application date,file:regulation/closure/eu/2017-625-official-controls.txt,2717feed2dd6f46d642e65db4555c0cfb033423551805d0d2a605c3f1e036531,2019-12-14,INITIAL,INITIAL,Competent authority / official or national reference laboratory as source allocated,shall,"Perform the source task, including official-laboratory coordination and active confirmatory/characterization assistance, without acquiring the competent authority’s official-finding decision.","Without event-time NRL status and exact task competence, Article 101 task effect is not established.",Source-allocated competent authority,"Exact designation act, scope, qualifications, accreditation/derogation, audit and event-time status evidence.","[""EU-2017-625:Art.100:national-reference-laboratory-status""]",DETERMINISTIC_RULE,NO,-,-,
"EU-2017-625:Art.37(1,3-5):official-laboratory-designation-tuple:v1",EU-2017-625,"EU-2017-625:Art.37(1,3-5):official-laboratory-designation-tuple",2019-12-14,2022-04-29,Regulation 2017/625 Article 167(1)-(2): plant-health Article 37(4)(e) and (5) not yet applicable in this interval.,file:regulation/closure/eu/2017-625-official-controls.txt,2717feed2dd6f46d642e65db4555c0cfb033423551805d0d2a605c3f1e036531,2019-12-14,INITIAL,INITIAL,Competent authority / official or national reference laboratory as source allocated,shall,"Constitute official-laboratory status for the exact written tasks, conditions and required capability. For plant health, Article 37(4)(e)/(5) accreditation and method-scope requirements do not yet apply; independently applicable domestic requirements remain separate.","Without the complete tuple, official-laboratory status for the task is not established; missing evidence remains unresolved.",Source-allocated competent authority,"Exact written designation, tasks, coordination, expertise, equipment, staff, impartiality and timely-result capability; independently applicable domestic requirements remain separate.",[],DETERMINISTIC_RULE,NO,-,-,"Article 167(2) delays only Article 37(4)(e) and (5), not written designation or the other Article 37 requirements."
"EU-2017-625:Art.37(1,3-5):official-laboratory-designation-tuple:v2",EU-2017-625,"EU-2017-625:Art.37(1,3-5):official-laboratory-designation-tuple",2022-04-29,,Regulation 2017/625 Article 167(2): plant-health Article 37(4)(e) and (5) apply from 29 April 2022.,file:regulation/closure/eu/2017-625-official-controls.txt,2717feed2dd6f46d642e65db4555c0cfb033423551805d0d2a605c3f1e036531,2019-12-14,APPLICATION_CHANGED,YES,Competent authority / official or national reference laboratory as source allocated,shall,"Constitute official-laboratory status only for the exact written tasks, conditions and event-time accreditation or valid derogation scope.","Without the complete tuple, official-laboratory status for the task is not established; missing evidence remains unresolved.",Source-allocated competent authority,"Exact designation act, scope, qualifications, accreditation/derogation, audit and event-time status evidence.",[],DETERMINISTIC_RULE,NO,-,-,"The plant-health accreditation and method-scope requirements now apply, subject to applicable derogations; domestic requirements retain their independent effect."
EU-2017-625:Art.37(2):external-location-designation:v1,EU-2017-625,EU-2017-625:Art.37(2):external-location-designation,2019-12-14,,Regulation 2017/625 application date,file:regulation/closure/eu/2017-625-official-controls.txt,2717feed2dd6f46d642e65db4555c0cfb033423551805d0d2a605c3f1e036531,2019-12-14,INITIAL,INITIAL,Competent authority / official or national reference laboratory as source allocated,may,Permit external-location designation subject to the complete source conditions.,"Without either condition, this external-location route is unavailable.",Source-allocated competent authority,"Exact designation act, scope, qualifications, accreditation/derogation, audit and event-time status evidence.",[],DETERMINISTIC_RULE,NO,-,-,
