instrument_id,stable_provision_id,parent_stable_provision_id,article,structural_kind
EU-2016-2031,EU-2016-2031:Art.22(3):annual-survey-results-report,EU-2016-2031:Art.22,22(3),paragraph
EU-2016-2031,EU-2016-2031:Art.31(2):more-stringent-measure-notification,EU-2016-2031:Art.31:more-stringent-national-measures,31(2),article
EU-2016-2031,EU-2016-2031:Art.31(2):more-stringent-measure-report-on-request,EU-2016-2031:Art.31:more-stringent-national-measures,31(2) second subparagraph,article
EU-2016-2031,EU-2016-2031:Art.31:more-stringent-national-measures,,31(1),article
EU-2017-625,EU-2017-625:Art.100:national-reference-laboratory-status,,100,composite
EU-2017-625,EU-2017-625:Art.101(1):national-reference-laboratory-tasks,,101(1),composite
EU-2017-625,"EU-2017-625:Art.37(1,3-5):official-laboratory-designation-tuple",,"37(1),(3)-(5)",composite
EU-2017-625,EU-2017-625:Art.37(2):external-location-designation,,37(2),composite
EU-2017-625,EU-2017-625:Art.38(1):official-result-notification,,38(1),paragraph
EU-2017-625,EU-2017-625:Art.39:official-laboratory-audit-status,,39,composite
EU-2017-625,EU-2017-625:Art.40(1)(b):other-official-activity-derogation,,40(1)(b),composite
EU-2017-625,EU-2017-625:Art.41:representative-method-derogation-authority,,41,composite
EU-2017-625,EU-2017-625:Art.42:temporary-method-designation,,42,composite
EU-2017-625,EU-2017-625:Art.93(1):eu-reference-laboratory-designation,,93(1),composite
EU-2021-1353,EU-2021-1353:Art.3:plant-health-partial-accreditation-derogation,,3,article
IT-CFN-ORD-3-2023,IT-CFN-ORD-3-2023:Annex-I:territory-list,,Annex I:territory-list,composite
IT-CFN-ORD-3-2023,IT-CFN-ORD-3-2023:Art.1(1):pest-free-declaration,,1(1):pest-free-declaration,paragraph
IT-CFN-ORD-3-2023,IT-CFN-ORD-3-2023:Art.1(2):maintain-pest-free-status,,1(2):maintain-pest-free-status,paragraph
IT-CFN-ORD-3-2023,IT-CFN-ORD-3-2023:Art.1(3):annual-list-revision,,1(3):annual-list-revision,paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.10(1):establish-territorial-unit,,10(1):establish-territorial-unit,paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.10(1):implement-plan-and-ordinances,,10(1):implement-plan-and-ordinances,paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.10(3)(a),IT-DLGS-19-2021:Art.10(1):establish-territorial-unit,10(3)(a),point
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.10(3)(c),IT-DLGS-19-2021:Art.10(1):establish-territorial-unit,10(3)(c),point
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.10(4),IT-DLGS-19-2021:Art.10(1):establish-territorial-unit,10(4),paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.11(1),,11(1),paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.11(1)(b),IT-DLGS-19-2021:Art.11(1),11(1)(b),point
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.11(2),,11(2),paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.13(1):corresponding-reference-laboratory,,13(1):corresponding-reference-laboratory,paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.13(1):unmatched-reference-laboratory,,13(1):unmatched-reference-laboratory,paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.13(2),,13(2),paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.13(4),,13(4),paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.13(5)(b),IT-DLGS-19-2021:Art.13(5)-stem,13(5)(b),point
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.13(5)(h),IT-DLGS-19-2021:Art.13(5)-stem,13(5)(h),point
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.13(5)-stem,,13(5),stem
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.14(1):designate-official-laboratory,,14(1):designate-official-laboratory,paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.14(1):official-laboratory-capacity,,14(1):official-laboratory-capacity,paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.14(1):record-designation-data,,14(1):record-designation-data,paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.14(2),,14(2),paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.14(3):cross-region-designation,,14(3):cross-region-designation,paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.14(3):cross-region-use,,14(3):cross-region-use,paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.14(4),,14(4),paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.20(1):assistant-identity,,Art.20(1),paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.20(2):appointment-register,,Art.20(2),paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.20(3):activity-limits,,Art.20(3),paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.20(4):express-assignment,,Art.20(4),paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.20(5):proposal-not-decision,,Art.20(5),paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.24:register-current-status,,Art.24(1)-(5),paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.26(1):prepare-emergency-plan,,26(1):prepare-emergency-plan,paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.26(2):ministerial-adoption,,26(2):ministerial-adoption,paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.26(4):monitor-emergency-plans,,26(4):monitor-emergency-plans,paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.26(4):update-emergency-plan,,26(4):update-emergency-plan,paragraph
