annex_version_id,annex,effective_from,effective_to_exclusive,source_snapshot_dates,source_snapshot_hashes,text_hash,text_length
EU-2020-1201:ANNEX-I:v1,I,2020-08-20,2021-10-11,2020-08-17,0c2f2f5a1c9f3aa6029968316919fd1c3302849388c0d8c92632e2533719a4b1,cedd584cdb2989c1edda1a8a70d3e5bdac934747abcc4c1da7a746651e29123f,3490
EU-2020-1201:ANNEX-I:v2,I,2021-10-11,2021-12-23,2021-10-11,45e3ac62539f5f05dccfcb2980038efbaedf9961518a7232e565a63f08db99ae,302501ad602208507cf2de3ed7cb303fe1bd5a56cde63d26b16888b8fd222657,3541
EU-2020-1201:ANNEX-I:v3,I,2021-12-23,2023-09-28,2021-12-23,7399f07ef01d86355316157be4a6a7fc1fb91d27785179b775cdbb1494a167ad,796eb9f540bc5dcf98de5dfab27fff31ba2ecd5c3317f6afcdd5b1d861872d48,3530
EU-2020-1201:ANNEX-I:v4,I,2023-09-28,2024-10-17,2023-09-28;2024-06-05,bc99293b1ca38ecc84d0751ec8c66f624f8d31fab2b2f521e48b57bf609c08bf;dd0488e1db242996cfa0fa99bb54197fd3b73a311661cc3f8b95571553c4990e,f16ee9f87e463163245cc77f44ffc636d35f1bc718e46e9fb5b379ff457455c1,4658
EU-2020-1201:ANNEX-I:v5,I,2024-10-17,,2024-10-17;2025-07-01;2025-11-24,0b48eb0200b1547987dc8ef6353101b3a1f4aec1378632643e60cdab0688110c;12618f62fc97c09c8f913c103ff58d04537c7f386de1c74c12a12921a366f9fa;d00d33c426a1e12b81470a4c0c5c5000fdd91caece26057c028e886a07109273,6c5cd75a5bfe5a7b09a27a6b70b884bd27ae93584060cf279582ab943c287152,4877
EU-2020-1201:ANNEX-II:v1,II,2020-08-20,2021-10-11,2020-08-17,0c2f2f5a1c9f3aa6029968316919fd1c3302849388c0d8c92632e2533719a4b1,514b20cb6eb765e08c718ee645e82222ec84ec8df921d1f209c2314223bd49c4,3719
EU-2020-1201:ANNEX-II:v2,II,2021-10-11,2021-12-23,2021-10-11,45e3ac62539f5f05dccfcb2980038efbaedf9961518a7232e565a63f08db99ae,dd09ffe1ec551b4df1d9da62361a416a9fd0765e90ec2983e976e0ceb1199de3,3589
EU-2020-1201:ANNEX-II:v3,II,2021-12-23,2023-09-28,2021-12-23,7399f07ef01d86355316157be4a6a7fc1fb91d27785179b775cdbb1494a167ad,7a47c2131308e66b67cb1224e67308761e2b57901e111f6cb46fbf7fb8a65dab,3595
EU-2020-1201:ANNEX-II:v4,II,2023-09-28,2024-10-17,2023-09-28;2024-06-05,bc99293b1ca38ecc84d0751ec8c66f624f8d31fab2b2f521e48b57bf609c08bf;dd0488e1db242996cfa0fa99bb54197fd3b73a311661cc3f8b95571553c4990e,0220aa2138a8440a3733a6d2b5af66fd65b92005efeaa4a04b9c255d5b4b7232,5076
EU-2020-1201:ANNEX-II:v5,II,2024-10-17,,2024-10-17;2025-07-01;2025-11-24,0b48eb0200b1547987dc8ef6353101b3a1f4aec1378632643e60cdab0688110c;12618f62fc97c09c8f913c103ff58d04537c7f386de1c74c12a12921a366f9fa;d00d33c426a1e12b81470a4c0c5c5000fdd91caece26057c028e886a07109273,7920531be016683d3f17065bdc760d741aadf6795242a8744093f682c5384a59,5382
