instrument_id,stable_provision_id,parent_stable_provision_id,article,structural_kind
EU-2020-1201,EU-2020-1201:1,,1,stem
EU-2020-1201,EU-2020-1201:1(a),EU-2020-1201:1,1,point
EU-2020-1201,EU-2020-1201:1(b),EU-2020-1201:1,1,point
EU-2020-1201,EU-2020-1201:1(c),EU-2020-1201:1,1,point
EU-2020-1201,EU-2020-1201:1(d),EU-2020-1201:1,1,point
EU-2020-1201,EU-2020-1201:2(1),,2,paragraph
EU-2020-1201,EU-2020-1201:2(2),,2,paragraph
EU-2020-1201,EU-2020-1201:2(3),,2,paragraph
EU-2020-1201,EU-2020-1201:2(3)-sub1,EU-2020-1201:2(3),2,subparagraph
EU-2020-1201,EU-2020-1201:2(4),,2,paragraph
EU-2020-1201,EU-2020-1201:2(4a),,2,paragraph
EU-2020-1201,EU-2020-1201:2(5),,2,paragraph
EU-2020-1201,EU-2020-1201:2(6),,2,paragraph
EU-2020-1201,EU-2020-1201:2(7),,2,paragraph
EU-2020-1201,EU-2020-1201:2(8),,2,paragraph
EU-2020-1201,EU-2020-1201:3(1),,3,composite
EU-2020-1201,EU-2020-1201:3(1)(a),EU-2020-1201:3(1),3,point
EU-2020-1201,EU-2020-1201:3(1)(b),EU-2020-1201:3(1),3,point
EU-2020-1201,EU-2020-1201:3(1)(c),EU-2020-1201:3(1),3,point
EU-2020-1201,EU-2020-1201:3(1)-final-subparagraph,EU-2020-1201:3(1),3,subparagraph
EU-2020-1201,EU-2020-1201:3(2),,3,composite
EU-2020-1201,EU-2020-1201:3(2)(a),EU-2020-1201:3(2),3,point
EU-2020-1201,EU-2020-1201:3(2)(b),EU-2020-1201:3(2),3,point
EU-2020-1201,EU-2020-1201:4(1),,4,paragraph
EU-2020-1201,EU-2020-1201:4(1)-sub1,EU-2020-1201:4(1),4,subparagraph
EU-2020-1201,EU-2020-1201:4(1)-sub2,EU-2020-1201:4(1),4,subparagraph
EU-2020-1201,EU-2020-1201:4(2),,4,composite
EU-2020-1201,EU-2020-1201:4(2)(a),EU-2020-1201:4(2),4,point
EU-2020-1201,EU-2020-1201:4(2)(b),EU-2020-1201:4(2),4,point
EU-2020-1201,EU-2020-1201:4(2)-sub1,EU-2020-1201:4(2),4,subparagraph
EU-2020-1201,EU-2020-1201:4(2)-sub2,EU-2020-1201:4(2),4,subparagraph
EU-2020-1201,EU-2020-1201:4(3),,4,paragraph
EU-2020-1201,EU-2020-1201:5(1),,5,composite
EU-2020-1201,EU-2020-1201:5(1)(a),EU-2020-1201:5(1),5,point
EU-2020-1201,EU-2020-1201:5(1)(b),EU-2020-1201:5(1),5,point
EU-2020-1201,EU-2020-1201:5(1)(c),EU-2020-1201:5(1),5,point
EU-2020-1201,EU-2020-1201:5(1)(d),EU-2020-1201:5(1),5,point
EU-2020-1201,EU-2020-1201:5(2),,5,paragraph
